GSM_ID;SRR_ID;Condition_Group;Category;Count;Experiment_Name;Age;Tissue;Cell_Type;Fastq_FTP_URL
GSM8101522;SRR17720186;FETAL_brain;sorted scRNA_seq;5;FETAL_brain_IND1_EC;Fetal;brain;Endothelial cells;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/086/SRR17720186/SRR17720186.fastq.gz
GSM8101523;SRR17720184;;;;FETAL_brain_IND2_IND3_EC;;;;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/084/SRR17720184/SRR17720184.fastq.gz
GSM8101524;SRR17720199;;;;FETAL_brain_IND4_EC;;;;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/099/SRR17720199/SRR17720199.fastq.gz
GSM8101525;SRR17720198;;;;FETAL_brain_IND5_EC;;;;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/098/SRR17720198/SRR17720198.fastq.gz
GSM8101564;SRR17720222;FETAL_brain;unsorted scRNA_seq;7;FETAL_brain_1_all cells;Fetal;brain;Perivascular and other tissue derived cells;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/022/SRR17720222/SRR17720222.fastq.gz
GSM8101565;SRR17720221;;;;FETAL_brain_2_all cells;;;;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/021/SRR17720221/SRR17720221.fastq.gz
GSM8101566;SRR17720220;;;;FETAL_brain_3_all cells;;;;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/020/SRR17720220/SRR17720220.fastq.gz
GSM8101567;SRR17720218;;;;FETAL_brain_4_all cells;;;;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/018/SRR17720218/SRR17720218.fastq.gz
GSM8101568;SRR17720217;;;;FETAL_brain_5_all cells;;;;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/017/SRR17720217/SRR17720217.fastq.gz
GSM8101606;SRR28072447;;;;FETAL_brain_8_all cells;;;;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR280/047/SRR28072447/SRR28072447.fastq.gz
GSM8101606;SRR28072448;;;;FETAL_brain_8_all cells;;;;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR280/048/SRR28072448/SRR28072448.fastq.gz
GSM8101607;SRR28072450;;;;FETAL_brain_6_all cells;;;;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR280/050/SRR28072450/SRR28072450.fastq.gz
GSM8101607;SRR28072449;;;;FETAL_brain_6_all cells;;;;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR280/049/SRR28072449/SRR28072449.fastq.gz
GSM8101526;SRR17720224;FETAL_periphery;sorted scRNA_seq;5;FETAL_periphery_IND2_EC;Fetal;peripheral organs;Endothelial cells;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/024/SRR17720224/SRR17720224.fastq.gz
GSM8101527;SRR17720200;;;;FETAL_periphery_IND3_EC;;;;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/000/SRR17720200/SRR17720200.fastq.gz
GSM8101528;SRR17720188;;;;FETAL_periphery_IND4_EC;;;;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/088/SRR17720188/SRR17720188.fastq.gz
GSM8101529;SRR17720208;;;;FETAL_periphery_IND5.3_EC;;;;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/008/SRR17720208/SRR17720208.fastq.gz
GSM8101530;SRR17720219;;;;FETAL_periphery_IND5.2_EC;;;;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/019/SRR17720219/SRR17720219.fastq.gz
GSM8101531;SRR17720175;;;;FETAL_periphery_IND5_EC;;;;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/075/SRR17720175/SRR17720175.fastq.gz
