GSM_ID;SRR_ID;Condition_Group;Category;Category_Bio_Sample_Count;Experiment_Name;Age;Tissue;Cell_Type;File_Tag;Fastq_AWS_URL
GSM8101522;SRR17720186;FETAL_brain;sorted;5;FETAL_brain_IND1_EC;Fetal;brain;Endothelial cells;L001_I1;s3://sra-pub-src-8/SRR17720186/Fetal_CNS_20-10-2020_sorted_3pr_v3_S21_L001_I1_001.fastq.gz.1
GSM8101522;SRR17720186;FETAL_brain;sorted;5;FETAL_brain_IND1_EC;Fetal;brain;Endothelial cells;L001_R1;s3://sra-pub-src-15/SRR17720186/Fetal_CNS_20-10-2020_sorted_3pr_v3_S21_L001_R1_001.fastq.gz.1
GSM8101522;SRR17720186;FETAL_brain;sorted;5;FETAL_brain_IND1_EC;Fetal;brain;Endothelial cells;L001_R2;s3://sra-pub-src-17/SRR17720186/Fetal_CNS_20-10-2020_sorted_3pr_v3_S21_L001_R2_001.fastq.gz.1
GSM8101522;SRR17720186;FETAL_brain;sorted;5;FETAL_brain_IND1_EC;Fetal;brain;Endothelial cells;L002_I1;s3://sra-pub-src-17/SRR17720186/Fetal_CNS_20-10-2020_sorted_3pr_v3_S21_L002_I1_001.fastq.gz.1
GSM8101522;SRR17720186;FETAL_brain;sorted;5;FETAL_brain_IND1_EC;Fetal;brain;Endothelial cells;L002_R1;s3://sra-pub-src-15/SRR17720186/Fetal_CNS_20-10-2020_sorted_3pr_v3_S21_L002_R1_001.fastq.gz.1
GSM8101522;SRR17720186;FETAL_brain;sorted;5;FETAL_brain_IND1_EC;Fetal;brain;Endothelial cells;L002_R2;s3://sra-pub-src-17/SRR17720186/Fetal_CNS_20-10-2020_sorted_3pr_v3_S21_L002_R2_001.fastq.gz.1
GSM8101522;SRR17720186;FETAL_brain;sorted;5;FETAL_brain_IND1_EC;Fetal;brain;Endothelial cells;L003_I1;s3://sra-pub-src-15/SRR17720186/Fetal_CNS_20-10-2020_sorted_3pr_v3_S21_L003_I1_001.fastq.gz.1
GSM8101522;SRR17720186;FETAL_brain;sorted;5;FETAL_brain_IND1_EC;Fetal;brain;Endothelial cells;L003_R1;s3://sra-pub-src-17/SRR17720186/Fetal_CNS_20-10-2020_sorted_3pr_v3_S21_L003_R1_001.fastq.gz.1
GSM8101522;SRR17720186;FETAL_brain;sorted;5;FETAL_brain_IND1_EC;Fetal;brain;Endothelial cells;L003_R2;s3://sra-pub-src-15/SRR17720186/Fetal_CNS_20-10-2020_sorted_3pr_v3_S21_L003_R2_001.fastq.gz.1
GSM8101522;SRR17720186;FETAL_brain;sorted;5;FETAL_brain_IND1_EC;Fetal;brain;Endothelial cells;L004_I1;s3://sra-pub-src-15/SRR17720186/Fetal_CNS_20-10-2020_sorted_3pr_v3_S21_L004_I1_001.fastq.gz.1
GSM8101522;SRR17720186;FETAL_brain;sorted;5;FETAL_brain_IND1_EC;Fetal;brain;Endothelial cells;L004_R1;s3://sra-pub-src-15/SRR17720186/Fetal_CNS_20-10-2020_sorted_3pr_v3_S21_L004_R1_001.fastq.gz.1
GSM8101522;SRR17720186;FETAL_brain;sorted;5;FETAL_brain_IND1_EC;Fetal;brain;Endothelial cells;L004_R2;s3://sra-pub-src-17/SRR17720186/Fetal_CNS_20-10-2020_sorted_3pr_v3_S21_L004_R2_001.fastq.gz.1
GSM8101523;SRR17720184;FETAL_brain;sorted;5;FETAL_brain_IND2_IND3_EC;Fetal;brain;Endothelial cells;L001_I1;s3://sra-pub-src-13/SRR17720184/14-4_16-4_weeks_Fetal_CNS_Sorted_pooled_3pr_v3_S2_L001_I1_001.fastq.gz.1
