SRR_ID;Experiment_Name;Condition_Group;Category;Sample_Name;DL_Status;DL_JobID;Fastq_Dir;CR_Status;CR_JobID;CR_Out_Dir;Split_Count;Is_Duplicate
SRR17720186;FETAL_brain_IND1_EC;FETAL_brain;sorted;FETAL_brain_IND1_EC;COMPLETED;144402;/home/gahe00001/natpro/data_fastqs/FETAL_brain/sorted/FETAL_brain_IND1_EC;PENDING;;;;
SRR17720184;FETAL_brain_IND2_IND3_EC;FETAL_brain;sorted;FETAL_brain_IND2_IND3_EC;COMPLETED;144403;/home/gahe00001/natpro/data_fastqs/FETAL_brain/sorted/FETAL_brain_IND2_IND3_EC;PENDING;;;;
SRR17720199;FETAL_brain_IND4_EC;FETAL_brain;sorted;FETAL_brain_IND4_EC;COMPLETED;144404;/home/gahe00001/natpro/data_fastqs/FETAL_brain/sorted/FETAL_brain_IND4_EC;PENDING;;;;
SRR17720198;FETAL_brain_IND5_EC;FETAL_brain;sorted;FETAL_brain_IND5_EC;COMPLETED;144405;/home/gahe00001/natpro/data_fastqs/FETAL_brain/sorted/FETAL_brain_IND5_EC;PENDING;;;;
SRR17720222;FETAL_brain_1_all_cells;FETAL_brain;unsorted;FETAL_brain_1_all_cells;PENDING;;;PENDING;;;;
SRR17720221;FETAL_brain_2_all_cells;FETAL_brain;unsorted;FETAL_brain_2_all_cells;SUBMITTED;144407;;PENDING;;;;
SRR17720220;FETAL_brain_3_all_cells;FETAL_brain;unsorted;FETAL_brain_3_all_cells;PENDING;;;PENDING;;;;
SRR17720218;FETAL_brain_4_all_cells;FETAL_brain;unsorted;FETAL_brain_4_all_cells;PENDING;;;PENDING;;;;
SRR17720217;FETAL_brain_5_all_cells;FETAL_brain;unsorted;FETAL_brain_5_all_cells;PENDING;;PENDING;PENDING;;;;
SRR28072449;FETAL_brain_6_all_cells;FETAL_brain;unsorted;FETAL_brain_6_all_cells;SUBMITTED;;;PENDING;;;;
SRR28072450;FETAL_brain_6_all_cells;FETAL_brain;unsorted;FETAL_brain_6_all_cells;COMPLETED;;;PENDING;;;;duplicate
SRR28072447;FETAL_brain_8_all_cells;FETAL_brain;unsorted;FETAL_brain_8_all_cells;PENDING;;;PENDING;;;;
SRR28072448;FETAL_brain_8_all_cells;FETAL_brain;unsorted;FETAL_brain_8_all_cells;COMPLETED;;;PENDING;;;;duplicate
SRR17720224;FETAL_periphery_IND2_EC;FETAL_periphery;sorted;FETAL_periphery_IND2_EC;COMPLETED;144415;/home/gahe00001/natpro/data_fastqs/FETAL_periphery/sorted/FETAL_periphery_IND2_EC;PENDING;;;;
SRR17720200;FETAL_periphery_IND3_EC;FETAL_periphery;sorted;FETAL_periphery_IND3_EC;COMPLETED;144475;/home/gahe00001/natpro/data_fastqs/FETAL_periphery/sorted/FETAL_periphery_IND3_EC;PENDING;;;3;
SRR17720188;FETAL_periphery_IND4_EC;FETAL_periphery;sorted;FETAL_periphery_IND4_EC;COMPLETED;144476;/home/gahe00001/natpro/data_fastqs/FETAL_periphery/sorted/FETAL_periphery_IND4_EC;PENDING;;;4;
SRR17720151;FETAL_periphery_IND5.1_EC;FETAL_periphery;sorted;FETAL_periphery_IND5.1_EC;RUNNING_GZIPPING;144477;;PENDING;;;4;
SRR17720219;FETAL_periphery_IND5.2_EC;FETAL_periphery;sorted;FETAL_periphery_IND5.2_EC;COMPLETED;144478;/home/gahe00001/natpro/data_fastqs/FETAL_periphery/sorted/FETAL_periphery_IND5.2_EC;PENDING;;;4;
SRR17720208;FETAL_periphery_IND5.3_EC;FETAL_periphery;sorted;FETAL_periphery_IND5.3_EC;COMPLETED;144479;/home/gahe00001/natpro/data_fastqs/FETAL_periphery/sorted/FETAL_periphery_IND5.3_EC;PENDING;;;4;
SRR17720175;FETAL_periphery_IND5_EC;FETAL_periphery;sorted;FETAL_periphery_IND5_EC;COMPLETED;144480;/home/gahe00001/natpro/data_fastqs/FETAL_periphery/sorted/FETAL_periphery_IND5_EC;PENDING;;;4;
SRR17720168;FETAL_periphery_IND6_EC;FETAL_periphery;sorted;FETAL_periphery_IND6_EC;COMPLETED;144468;/home/gahe00001/natpro/data_fastqs/FETAL_periphery/sorted/FETAL_periphery_IND6_EC;PENDING;;;4;
SRR28072443;TL_patient10_EC_1;TL;sorted;TL_patient10_EC_1;COMPLETED;144469;/home/gahe00001/natpro/data_fastqs/TL/sorted/TL_patient10_EC_1;PENDING;;;3;
SRR28072444;TL_patient10_EC_1;TL;sorted;TL_patient10_EC_1;COMPLETED;144470;/home/gahe00001/natpro/data_fastqs/TL/sorted/TL_patient10_EC_1;PENDING;;;3;duplicate
SRR28072445;TL_patient10_EC_1;TL;sorted;TL_patient10_EC_1;COMPLETED;144471;/home/gahe00001/natpro/data_fastqs/TL/sorted/TL_patient10_EC_1;PENDING;;;3;duplicate
SRR28072446;TL_patient10_EC_1;TL;sorted;TL_patient10_EC_1;COMPLETED;144472;/home/gahe00001/natpro/data_fastqs/TL/sorted/TL_patient10_EC_1;PENDING;;;3;duplicate
SRR28072439;TL_patient10_EC_2;TL;sorted;TL_patient10_EC_2;COMPLETED;144473;/home/gahe00001/natpro/data_fastqs/TL/sorted/TL_patient10_EC_2;PENDING;;;3;
SRR28072440;TL_patient10_EC_2;TL;sorted;TL_patient10_EC_2;COMPLETED;;;COMPLETED;;Duplicate;;duplicate
SRR28072441;TL_patient10_EC_2;TL;sorted;TL_patient10_EC_2;COMPLETED;;;COMPLETED;;Duplicate;;duplicate
SRR28072442;TL_patient10_EC_2;TL;sorted;TL_patient10_EC_2;COMPLETED;;;COMPLETED;;Duplicate;;duplicate
SRR17720195;TL_patient3_EC;TL;sorted;TL_patient3_EC;RUNNING_GZIPPING;144522;;PENDING;;;3;
SRR17720193;TL_patient4_EC;TL;sorted;TL_patient4_EC;COMPLETED;144523;/home/gahe00001/natpro/data_fastqs/TL/sorted/TL_patient4_EC;PENDING;;;3;
SRR17720192;TL_patient5_EC;TL;sorted;TL_patient5_EC;COMPLETED;144524;/home/gahe00001/natpro/data_fastqs/TL/sorted/TL_patient5_EC;PENDING;;;3;
SRR17720191;TL_patient6_EC;TL;sorted;TL_patient6_EC;COMPLETED;144525;/home/gahe00001/natpro/data_fastqs/TL/sorted/TL_patient6_EC;PENDING;;;3;
SRR28072467;TL_patient7_EC;TL;sorted;TL_patient7_EC;COMPLETED;144526;/home/gahe00001/natpro/data_fastqs/TL/sorted/TL_patient7_EC;PENDING;;;3;
SRR28072474;TL_patient9_EC_1;TL;sorted;TL_patient9_EC_1;COMPLETED;144527;/home/gahe00001/natpro/data_fastqs/TL/sorted/TL_patient9_EC_1;PENDING;;;3;
SRR28072475;TL_patient9_EC_1;TL;sorted;TL_patient9_EC_1;COMPLETED;144504;;PENDING;;;;duplicate
SRR28072476;TL_patient9_EC_1;TL;sorted;TL_patient9_EC_1;COMPLETED;144505;;PENDING;;;;duplicate
SRR28072477;TL_patient9_EC_1;TL;sorted;TL_patient9_EC_1;COMPLETED;144506;;PENDING;;;;duplicate
SRR28072468;TL_patient9_EC_2;TL;sorted;TL_patient9_EC_2;COMPLETED;144528;/home/gahe00001/natpro/data_fastqs/TL/sorted/TL_patient9_EC_2;PENDING;;;3;
SRR28072469;TL_patient9_EC_2;TL;sorted;TL_patient9_EC_2;COMPLETED;;;PENDING;;;;duplicate
SRR28072478;TL_patient9_EC_2;TL;sorted;TL_patient9_EC_2;COMPLETED;;;PENDING;;;;duplicate
SRR28072479;TL_patient9_EC_2;TL;sorted;TL_patient9_EC_2;COMPLETED;;;PENDING;;;;duplicate
